cnpj;cnpj_created_at;cnpj_id;cnpj_status;competitor_id;created_at;fund_name;fund_type_override;id;name;slug;status;updated_at
56886293000100;2026-03-05 16:05:27.971111+00;51e4d463-0aca-489e-b57e-13c73a82bf8d;inactive;cbbdcb9c-2b5f-4182-8bdc-88e81bf02c85;2026-03-05 12:11:10.505717+00;ATHENAS FUNDO DE INVESTIMENTO EM DIREITOS CREDIT�RIOS;;cbbdcb9c-2b5f-4182-8bdc-88e81bf02c85;Atena;atena;active;2026-03-05 12:11:10.505717+00
23216398000101;2026-03-05 12:11:21.383754+00;7ffcb98d-7493-459b-bb06-9b95042d1984;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
28912060000108;2026-03-20 13:14:49.777806+00;bc128c37-0aeb-4624-9860-11eaa692fc79;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;SETE ROCAS FUNDO DE INVESTIMENTO EM DIREITOS CREDIT�RIOS N�O-PADRONIZADOS;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
29226508000194;2026-03-20 13:14:44.033059+00;cfc5d963-b1ab-456d-8a79-4f8fe78117ed;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;HOD FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDIT�RIOS;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
29492653000117;2026-03-20 13:14:47.202274+00;a8ab94ce-0997-424a-b750-4a54390ae444;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;AMGW FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDIT�RIOS - NP;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
29602821000180;2026-03-20 13:14:49.265487+00;90c48781-509d-499e-82c1-c16f91dab990;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;RAO CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
29614353000163;2026-03-20 13:14:48.869504+00;e1fdb2ab-dc7e-4767-bf47-19032d903a0e;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;FUNDO DE INVESTIMENTO EM DIREITOS CREDIT�RIOS NEOCRED CONSIGNADO PRIVADO;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
32388135000162;2026-03-06 19:40:56.399872+00;40d75def-4188-4aae-8498-6bd47b18361c;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;MULTIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDIT�RIOS;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
32510577000130;2026-03-06 04:00:22.473452+00;8a077492-e678-495c-9a39-60d5b9f473aa;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;MULTIPLICA LONG TERM LONGO PRAZO FUNDO DE INVESTIMENTO EM DIREITOS CREDIT�RIOS;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
32948489000114;2026-03-20 13:14:44.276798+00;769a7273-bc4c-4ce5-aef7-fdfa0c46a4f6;active;4eafa984-fb02-41df-805b-756e3c25af9b;2026-03-05 12:11:10.505717+00;OURO 04 FUNDO DE INVESTIMENTO MULTIMERCADO CR�DITO PRIVADO INVESTIMENTO NO EXTERIOR;;4eafa984-fb02-41df-805b-756e3c25af9b;Multiplica;multiplica;active;2026-03-06 08:59:07.53069+00
